Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ACCO,Acco Brands Corporation,11.65,$1.28B,n/a,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
ATV,Acorn International Inc.,13.3899,$50.48M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,25.05,$1.5B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,177.18,$7.46B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,19.19,$1.43B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
ADX,Adams Diversified Equity Fund Inc.,14.34,$1.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,Adams Natural Resources Fund Inc.,18.92,$540.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,10.33,$1.25B,2011,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/agro
ADNT,Adient plc,67.42,$6.32B,2016,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adnt
ATGE,Adtalem Global Education Inc.,37.85,$2.37B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atge
AAP,Advance Auto Parts Inc,128.36,$9.48B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/aap
ADSW,Advanced Disposal Services Inc.,23.83,$2.1B,2016,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/adsw
WMS,Advanced Drainage Systems Inc.,20.35,$1.13B,2014,Capital Goods,Containers/Packaging,http://www.nasdaq.com/symbol/wms
ASX,Advanced Semiconductor Engineering Inc.,6.22,$10.29B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/asx
ASIX,AdvanSix Inc.,29.98,$913.88M,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,6.1,$1.13B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,16.14,$380.6M,2003,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,6.3,$202.84M,2007,n/a,n/a,http://www.nasdaq.com/symbol/agc
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.82,$119.98M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lcm
ACM,AECOM,33.76,$5.26B,2007,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/acm
ANW,Aegean Marine Petroleum Network Inc.,5.7,$224.84M,2006,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/anw
AEB,Aegon NV,24.8063,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeb
AED,Aegon NV,25.94,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aed
AEG,Aegon NV,5.06,$10.57B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeg
AEH,Aegon NV,25.99,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aeh
AEK,Aegon NV,25.83,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aek
AER,Aercap Holdings N.V.,45.41,$7.71B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aer
HIVE,Aerohive Networks Inc.,4.87,$257.33M,2014,Technology,EDP Services,http://www.nasdaq.com/symbol/hive
AJRD,Aerojet Rocketdyne Holdings Inc. ,21.78,$1.62B,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/ajrd
AET,Aetna Inc.,149.79,$49.69B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aet
AMG,Affiliated Managers Group Inc.,162.49,$9.2B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amg
MGR,Affiliated Managers Group Inc.,25.37,n/a,2012,Finance,Investment Managers,http://www.nasdaq.com/symbol/mgr
AFL,Aflac Incorporated,78,$30.95B,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afl
AFSD,Aflac Incorporated,25.39,n/a,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/afsd
MITT,AG Mortgage Investment Trust Inc.,19.03,$527.23M,2011,n/a,n/a,http://www.nasdaq.com/symbol/mitt
MITT^A,AG Mortgage Investment Trust Inc.,25.21,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^a
MITT^B,AG Mortgage Investment Trust Inc.,25.06,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mitt^b
AGCO,AGCO Corporation,67.21,$5.34B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/agco
A,Agilent Technologies Inc.,59.21,$19.03B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/a
AEM,Agnico Eagle Mines Limited,48.2,$11.14B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aem
ADC,Agree Realty Corporation,47.51,$1.25B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/adc
AGU,Agrium Inc.,94.95,$13.12B,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/agu
AL,Air Lease Corporation,38.42,$3.96B,2011,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/al
APD,Air Products and Chemicals Inc.,145.85,$31.76B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd
AYR,Aircastle Limited,22.7,$1.79B,2006,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ayr
AKS,AK Steel Holding Corporation,6.24,$1.96B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/aks
ALP^O,Alabama Power Company,28.0989,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/alp^o
ALG,Alamo Group Inc.,90.35,$1.04B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/alg
AGI,Alamos Gold Inc.,7.03,$2.1B,2015,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/agi
ALK,Alaska Air Group Inc.,89.93,$11.12B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/alk
AIN,Albany International Corporation,52.4,$1.68B,n/a,Basic Industries,Textiles,http://www.nasdaq.com/symbol/ain
ALB,Albemarle Corporation,115.4,$12.78B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/alb
AA,Alcoa Corporation,33.01,$6.08B,2016,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa
ALR,Alere Inc.,49.96,$4.36B,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/alr
ALR^B,Alere Inc.,392,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alr^b
ALEX,Alexander & Baldwin Holdings Inc.,42.26,$2.08B,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/alex
ALX,Alexander&#39;s Inc.,428.9,$2.19B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/alx
ARE,Alexandria Real Estate Equities Inc.,118.63,$10.8B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/are
ARE^D,Alexandria Real Estate Equities Inc.,35.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/are^d
AQN,Algonquin Power & Utilities Corp.,10.36,$3.96B,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aqn
BABA,Alibaba Group Holding Limited,139.44,$352.78B,2014,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/baba
Y,Alleghany Corporation,591.43,$9.12B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/y
ATI,Allegheny Technologies Incorporated,16.93,$1.84B,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati
ALLE,Allegion plc,77.23,$7.36B,2013,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/alle
AGN,Allergan plc.,232.36,$78.04B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agn
AGN^A,Allergan plc.,828.62,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agn^a
ALE,Allete Inc.,74.27,$3.78B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ale
AKP,Alliance California Municipal Income Fund Inc,13.72,$117.37M,2002,n/a,n/a,http://www.nasdaq.com/symbol/akp
ADS,Alliance Data Systems Corporation,241.36,$13.44B,2001,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/ads
AFB,Alliance National Municipal Income Fund Inc,13.75,$395.24M,2002,n/a,n/a,http://www.nasdaq.com/symbol/afb
AOI,Alliance One International Inc.,12.6,$122.66M,n/a,Consumer Services,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/aoi
AWF,Alliance World Dollar Government Fund II,12.84,$1.11B,1993,n/a,n/a,http://www.nasdaq.com/symbol/awf
AB,AllianceBernstein Holding L.P.,23.25,$2.24B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ab
LNT,Alliant Energy Corporation,41.26,$9.4B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/lnt
NCV,AllianzGI Convertible & Income Fund,6.94,$613.38M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncv
NCZ,AllianzGI Convertible & Income Fund II,6.14,$457.97M,2003,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,21.05,$216.29M,2015,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,19.6,$543.1M,2007,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,AllianzGI NFJ Dividend Interest & Premium Strategy Fund,13.05,$1.24B,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
AWH,Allied World Assurance Company Holdings AG,52.51,$4.59B,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh
ALSN,Allison Transmission Holdings Inc.,37.88,$5.76B,2012,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),87.37,$31.85B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),26.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),27.87,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),27.18,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),27.3674,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),27.4052,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),27.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,19.69,$9.04B,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,25.56,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a
ALJ,Alon USA Energy Inc.,13.24,$951.79M,2005,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/alj
ALDW,Alon USA Partners LP,11,$687.72M,2012,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/aldw
AGD,Alpine Global Dynamic Dividend Fund,10.321,$129.52M,2006,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,6.25,$533.8M,2007,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,8.77,$943.59M,2007,n/a,n/a,http://www.nasdaq.com/symbol/aod
AYX,Alteryx Inc.,19.42,$1.13B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ayx
RESI,Altisource Residential Corporation,13.79,$737.98M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/resi
MO,Altria Group,75.46,$145.76B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,11.675,$6.96B,2001,Basic Industries,Aluminum,http://www.nasdaq.com/symbol/ach
AMBR,Amber Road Inc.,7.74,$209.41M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,5.47,$85.89B,2013,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/abev
AMC,AMC Entertainment Holdings Inc.,23.3,$3.05B,2013,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,6.29,$2.47B,2014,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/amfw
AEE,Ameren Corporation,56.29,$13.66B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/aee
AMRC,Ameresco Inc.,6.85,$311.16M,2010,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/amrc
AMOV,America Movil S.A.B. de C.V.,16.1863,$53.25B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AMX,America Movil S.A.B. de C.V.,16.29,$53.59B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amx
AAT,American Assets Trust Inc.,40.52,$1.91B,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aat
AXL,American Axle & Manufacturing Holdings Inc.,16.26,$1.81B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,47.37,$6.35B,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc
AEO,American Eagle Outfitters Inc.,11.58,$2.05B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/aeo
AEP,American Electric Power Company Inc.,71.86,$35.33B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,24.19,$2.15B,2003,Finance,Life Insurance,http://www.nasdaq.com/symbol/ael
AXP,American Express Company,80.31,$71.78B,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/axp
AFA,American Financial Group Inc.,25.2368,n/a,2012,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afa
AFG,American Financial Group Inc.,99.48,$8.72B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afg
AFGE,American Financial Group Inc.,26.85,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afge
AFGH,American Financial Group Inc.,26.966,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afgh
AFW.CL,American Financial Group Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afw.cl
AMH,American Homes 4 Rent,22,$5.7B,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh
AMH^A,American Homes 4 Rent,28.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amh^a
AMH^B,American Homes 4 Rent,28.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b
AMH^C,American Homes 4 Rent,28.44,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
AMH^D,American Homes 4 Rent,25.92,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,25.5151,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^e
AMH^F,American Homes 4 Rent,24.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^f
AIG,American International Group Inc.,64.18,$59.18B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/aig
AIG.WS,American International Group Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
AMID,American Midstream Partners LP,11.9,$615.6M,2011,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amid
ARL,American Realty Investors Inc.,9.67,$150.02M,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/arl
ARA,American Renal Associates Holdings Inc,16.98,$528.95M,2016,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/ara
AWR,American States Water Company,49.9,$1.83B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),130.28,$55.37B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/amt
AMT^B,American Tower Corporation (REIT),118.72,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,American Vanguard Corporation,18.4,$548.01M,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,79.26,$14.12B,2008,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/awk
APU,AmeriGas Partners L.P.,43.43,$4.04B,n/a,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/apu
AMP,AMERIPRISE FINANCIAL SERVICES INC.,126.49,$19.28B,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),92.1,$20.11B,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,4.76,$142.03M,2012,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,36.75,$1.76B,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,16.55,$203.08M,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,75.76,$23.15B,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aph
BETR,Amplify Snack Brands inc.,8.67,$665.48M,2015,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,6.97,$56.3M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/axr
AME,AMTEK Inc.,62.38,$14.35B,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/ame
AFSI^A,AmTrust Financial Services Inc.,23.19,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,AmTrust Financial Services Inc.,23.4556,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,AmTrust Financial Services Inc.,24.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,AmTrust Financial Services Inc.,23.87,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,AmTrust Financial Services Inc.,24.89,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,AmTrust Financial Services Inc.,23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,AmTrust Financial Services Inc.,25.2059,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afss
AFST,AmTrust Financial Services Inc.,25.135,n/a,2015,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,42.8,n/a,2015,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,47.98,$26.89B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,11.95,$4.88B,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,113.5,$182.54B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,75.3,$2.5B,n/a,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,12.13,$12.36B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,25.8937,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,25.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,25.46,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,25.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
AMGP,Antero Midstream GP LP,21.98,$4.09B,2017,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/amgp
AM,Antero Midstream Partners LP,33.21,$6.17B,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,21.5,$6.78B,2013,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ar
ANTM,Anthem Inc.,186.92,$49.53B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antm
ANTX,Anthem Inc.,52.36,$13.87B,2015,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,6.18,$591M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,26.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,29.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.869,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,132.64,$34.76B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,48.34,$18.39B,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,44.36,$6.97B,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,27.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,18.52,$1.95B,2009,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance,25.8026,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance,25.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,Apollo Global Management LLC,27.43,$11.15B,2011,Finance,Investment Managers,http://www.nasdaq.com/symbol/apo
APO^A,Apollo Global Management LLC,25.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo^a
AIB,Apollo Investment Corporation,25.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,25.89,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,17.06,$265.68M,2011,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,16.52,$238.95M,2013,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,Apple Hospitality REIT Inc.,19.04,$4.25B,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aple
AIT,Applied Industrial Technologies Inc.,62.05,$2.42B,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/ait
ATR,AptarGroup Inc.,85.65,$5.35B,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr
WTR,Aqua America Inc.,32.99,$5.86B,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr
WAAS,AquaVenture Holdings Limited,16.09,$424.91M,2016,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,39.54,$9.65B,2013,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,8.49,$520.86M,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.47,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,26.0738,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,25.4582,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/abrn
ARC,ARC Document Solutions Inc.,4.06,$188.5M,2004,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/arc
